,name,product,location,"Sulfur","Silver","Cadmium","Manganese","Potassium","Vanadium","Cerium","Dysprosium","Gadolinium","Iridium","Lanthanum","Lithium","Neodymium","Scandium","Selenium","Tellurium","Yttrium","Cobalt","Gallium","Strontium","Zirconium","Platinum","Nickel"
0,"platinum group metal, mine and concentration operations",platinum group metal concentrate,ZA,0.0006024426262706684,9.950189193305564e-07,7.087800905077587e-08,0.00045506827309059087,0.0013665243517485708,2.756819839801431e-09,2.2301377813476085e-06,1.106191752023103e-09,3.0819349412486505e-08,0.0,1.1110025021683565e-06,4.399136512286686e-09,8.046240967102047e-07,3.4974270675550117e-09,2.7846009821320977e-06,5.115206763463276e-07,4.05603645876316e-09,4.275360704072246e-06,8.099571626313461e-06,1.769355853657048e-07,1.9912701292178837e-05,0.00010300514476872477,0.01726275771044127
1,trimethyl borate production,trimethyl borate,GLO,0.0019988772345390883,4.821537698241264e-06,4.2238757559220415e-07,0.00030779657914327467,2.5076399670504593e-05,1.642888213690568e-08,1.324196950102532e-06,3.7899387467274134e-10,1.8400829049194117e-08,0.0,6.383002199615975e-07,1.6401850310423635e-10,4.829201243836856e-07,2.2329992278507177e-09,9.12285835852676e-06,1.6752522553779884e-06,1.3896442189846395e-09,1.3714825488868934e-05,3.838749370783339e-07,1.1240722984014168e-06,2.5300540568325283e-05,4.130287669137482e-09,0.0007766057255450509
2,"photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof","photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof",CH,6.4147572886794935,0.08041444865786325,0.0006539851224227511,1.0610860627250966,0.6153316973435939,2.5436933045825415e-05,0.008530092463500316,5.860101616780979e-06,0.00011728861392132893,0.0,0.00437487114953467,5.420877610990288e-06,0.0030473922100570008,1.2460829214355149e-05,0.05224766749978955,0.009582971841987023,2.1487039446958076e-05,0.03989245880638665,0.0157311382840286,0.001434887128356952,0.15304515170892513,1.9782231776322952e-05,1.8725899244195827
3,"electricity production, deep geothermal","electricity, high voltage",US-HICC,7.668229224463843e-06,5.157821299662933e-09,4.806088294970719e-10,8.118408978515609e-05,7.172040646243885e-05,1.8693413939620102e-11,3.2738325947148646e-07,2.4858898163544395e-11,4.5743186058605274e-09,0.0,1.5250958011480776e-07,6.8091819876473765e-12,1.20670511538205e-07,5.907999329172795e-10,1.757538214826356e-08,3.3368943829611198e-09,9.114929404685841e-11,5.0467693148292523e-08,6.862995868861946e-09,1.0544885172358297e-09,4.134277492580826e-07,2.4318280377091778e-11,3.6150870484667825e-05
4,"petrol, unleaded, import from RoW","petrol, unleaded",BR,7.129796384402032e-05,2.999006151355082e-08,3.980536925775898e-09,9.747671892186125e-05,9.355590618895576e-07,1.5482408787352915e-10,1.4309004678052205e-06,6.644126112273721e-10,1.9790805731969602e-08,0.0,7.093514093974545e-07,4.3633101398291015e-11,5.171041163457396e-07,2.269529449080292e-09,5.105293251976491e-08,9.803022191640705e-09,2.4361795947202625e-09,4.7593973890274295e-07,3.291779824038755e-08,1.1886597235223825e-08,1.0615371127175049e-05,2.1384589643515276e-08,6.590020841370902e-05
5,planing mill production,planing mill,RoW,2808.848004526927,13.451802530116328,2.9763112940187404,19725.52473364489,143.4492934664439,0.11576445277040939,53.89607382307753,0.003068563620305907,0.7534282732760529,0.0,25.028367507936476,0.0022140933035025403,19.884605293584563,0.09783760174009158,4.207816522665338,0.8140022182987907,0.011251400037396608,16.69008887334116,10.377806439512831,10.042388820395061,160.30710174047098,0.007449246264168523,13058.369435427841
6,electricity voltage transformation from medium to low voltage,"electricity, low voltage",CA-NS,1.757065694175218e-05,2.4991547310169417e-08,1.6435955588199568e-09,3.387934874554243e-05,2.462088504628088e-06,6.392810680102173e-11,1.2563374192323803e-07,1.3254955090370002e-11,1.7540484564749296e-09,0.0,5.8811698909250324e-08,1.2976699816386591e-11,4.623851955826303e-08,2.2462985043353087e-10,1.072030344429304e-07,1.971790297243958e-08,4.86015024123131e-11,1.1287220207261183e-07,3.2443259995540555e-08,2.208203874864051e-09,4.315053469423832e-06,2.2542740637154945e-10,2.7513072783821764e-05
7,"treatment of sulfidic tailings, from zinc-lead mine operation, tailings impoundment","sulfidic tailings, from zinc-lead mine operation",IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"sulfate pulp production, from softwood, unbleached","electricity, high voltage",RER,7.306010022420048e-06,1.908103082017132e-08,1.4420878324814775e-09,9.60078390097596e-06,1.8636124362362388e-06,5.609040660919819e-11,1.5540604387599298e-07,3.9195025911479003e-10,2.033040983054803e-09,0.0,1.016536238737319e-07,2.1169505813021802e-11,5.022707464417005e-08,6.656142634123212e-11,4.047991933884396e-08,7.446126662964158e-09,1.4371509622449486e-09,4.7246120874493435e-08,1.2510758369512572e-08,3.9830271074761315e-09,3.295851922109164e-07,8.107033093574641e-11,1.3948401289865326e-05
9,"micro gas turbine production, 100kW electrical","micro gas turbine, 100kW electrical",CH,78.32370536549818,0.027257311986660936,0.0009805990447514124,60.676947332924605,0.15680245125414757,3.8140673139478915e-05,0.18122707645962038,5.942031003180357e-06,0.0025350165402218397,0.0,0.08382178439465399,1.1985655072102947e-05,0.06694375353111567,0.0003314438647251836,0.18890337535852683,0.03475732815322226,2.1787447197635076e-05,0.5798259965492256,0.02214636983035504,0.001008298947663005,0.24701611466353235,0.0004507635566333169,115.10051931743574
